data;tipo;valor;descricao
2025-08-01;entrada;28000,00;Recebimento contrato manutenção - Cliente Alfa
2025-08-02;saida;3200,00;Folha de pagamento - Administrativo
2025-08-03;saida;1850,00;Compra de peças - Fornecedor PeçasSul
2025-08-04;saida;420,00;Combustível - Posto Avenida
2025-08-05;saida;680,00;Internet e telefone - Telecom BR
2025-08-06;saida;129,90;Google Workspace - assinatura mensal
2025-08-07;saida;950,00;Serviços contábeis - ContabFácil
2025-08-08;entrada;5400,00;Recebimento ordem de serviço - Cliente Beta
2025-08-09;saida;310,00;Pedágio e estacionamento - Viagem técnica
2025-08-10;saida;2400,00;Compra de EPIs - Segurança Forte
2025-08-11;saida;780,00;Manutenção veículo - AutoCenter
2025-08-12;entrada;8900,00;Recebimento contrato mensal - Cliente Gama
2025-08-13;saida;520,00;Aluguel impressoras - OfficeRent
2025-08-14;saida;399,00;Material de escritório - Papelaria Central
2025-08-15;saida;2100,00;Peças e insumos - Fornecedor MetalParts
2025-08-16;saida;89,90;Assinatura ferramenta - Notion
2025-08-17;entrada;3200,00;Reembolso despesas - Cliente Beta
2025-08-18;saida;1550,00;Frete de compra - Transportadora Rápida
2025-08-19;saida;260,00;Tarifas bancárias - Banco
2025-08-20;entrada;12500,00;Recebimento OS emergencial - Cliente Delta

2025-09-01;entrada;29500,00;Recebimento contrato manutenção - Cliente Alfa
2025-09-02;saida;3250,00;Folha de pagamento - Administrativo
2025-09-03;saida;2100,00;Compra de peças - Fornecedor PeçasSul
2025-09-04;saida;480,00;Combustível - Posto Avenida
2025-09-05;saida;680,00;Internet e telefone - Telecom BR
2025-09-06;saida;129,90;Google Workspace - assinatura mensal
2025-09-07;saida;950,00;Serviços contábeis - ContabFácil
2025-09-08;entrada;6100,00;Recebimento ordem de serviço - Cliente Beta
2025-09-09;saida;340,00;Pedágio e estacionamento - Viagem técnica
2025-09-10;saida;1800,00;Compra de EPIs - Segurança Forte
2025-09-11;saida;890,00;Manutenção veículo - AutoCenter
2025-09-12;entrada;9100,00;Recebimento contrato mensal - Cliente Gama
2025-09-13;saida;520,00;Aluguel impressoras - OfficeRent
2025-09-14;saida;420,00;Material de escritório - Papelaria Central
2025-09-15;saida;2350,00;Peças e insumos - Fornecedor MetalParts
2025-09-16;saida;89,90;Assinatura ferramenta - Notion
2025-09-17;entrada;2600,00;Recebimento OS pequena - Cliente Épsilon
2025-09-18;saida;1320,00;Frete de compra - Transportadora Rápida
2025-09-19;saida;310,00;Tarifas bancárias - Banco
2025-09-20;entrada;14100,00;Recebimento OS emergencial - Cliente Delta

2025-10-01;entrada;30500,00;Recebimento contrato manutenção - Cliente Alfa
2025-10-02;saida;3300,00;Folha de pagamento - Administrativo
2025-10-03;saida;1980,00;Compra de peças - Fornecedor PeçasSul
2025-10-04;saida;510,00;Combustível - Posto Avenida
2025-10-05;saida;680,00;Internet e telefone - Telecom BR
2025-10-06;saida;129,90;Google Workspace - assinatura mensal
2025-10-07;saida;980,00;Serviços contábeis - ContabFácil
2025-10-08;entrada;5900,00;Recebimento ordem de serviço - Cliente Beta
2025-10-09;saida;355,00;Pedágio e estacionamento - Viagem técnica
2025-10-10;saida;2100,00;Compra de EPIs - Segurança Forte
2025-10-11;saida;920,00;Manutenção veículo - AutoCenter
2025-10-12;entrada;9400,00;Recebimento contrato mensal - Cliente Gama
2025-10-13;saida;520,00;Aluguel impressoras - OfficeRent
2025-10-14;saida;460,00;Material de escritório - Papelaria Central
2025-10-15;saida;2600,00;Peças e insumos - Fornecedor MetalParts
2025-10-16;saida;89,90;Assinatura ferramenta - Notion
2025-10-17;entrada;3100,00;Recebimento OS pequena - Cliente Épsilon
2025-10-18;saida;1480,00;Frete de compra - Transportadora Rápida
2025-10-19;saida;320,00;Tarifas bancárias - Banco
2025-10-20;entrada;15200,00;Recebimento OS emergencial - Cliente Delta

2025-11-01;entrada;29800,00;Recebimento contrato manutenção - Cliente Alfa
2025-11-02;saida;3400,00;Folha de pagamento - Administrativo
2025-11-03;saida;2250,00;Compra de peças - Fornecedor PeçasSul
2025-11-04;saida;540,00;Combustível - Posto Avenida
2025-11-05;saida;680,00;Internet e telefone - Telecom BR
2025-11-06;saida;129,90;Google Workspace - assinatura mensal
2025-11-07;saida;980,00;Serviços contábeis - ContabFácil
2025-11-08;entrada;5600,00;Recebimento ordem de serviço - Cliente Beta
